2024-10-28 05:15:38 - iter: 43309/376600, epoch: 200, lr: 0.0003871216724063074 Train MRAE: 0.018442654982209206, Test mrae: 0.01643628440797329, Test rmse: 0.001766706700436771, Test psnr: 57.0261116027832, Test ssim: 0.9993933439254761, Test sam: 0.012439588084816933
2024-10-28 05:38:08 - iter: 45192/376600, epoch: 200, lr: 0.00038599102157092937 Train MRAE: 0.016973057761788368, Test mrae: 0.0157058946788311, Test rmse: 0.0018634962616488338, Test psnr: 56.12189483642578, Test ssim: 0.9996524453163147, Test sam: 0.013078819960355759
2024-10-28 06:00:27 - iter: 47075/376600, epoch: 200, lr: 0.00038481460360154074 Train MRAE: 0.017194839194417, Test mrae: 0.017375962808728218, Test rmse: 0.0022736473474651575, Test psnr: 54.46742248535156, Test ssim: 0.9995803833007812, Test sam: 0.016152499243617058
2024-10-28 06:23:02 - iter: 48958/376600, epoch: 200, lr: 0.0003835927087616722 Train MRAE: 0.016398945823311806, Test mrae: 0.014505458995699883, Test rmse: 0.001963087124750018, Test psnr: 55.80260467529297, Test ssim: 0.9995294809341431, Test sam: 0.012115969322621822
2024-10-28 06:45:12 - iter: 50841/376600, epoch: 200, lr: 0.0003823256385355909 Train MRAE: 0.01835634373128414, Test mrae: 0.010436576791107655, Test rmse: 0.0013617784716188908, Test psnr: 59.58904266357422, Test ssim: 0.9998328685760498, Test sam: 0.008797203190624714
2024-10-28 07:07:38 - iter: 52724/376600, epoch: 200, lr: 0.000381013705553919 Train MRAE: 0.016128916293382645, Test mrae: 0.018180297687649727, Test rmse: 0.002622543601319194, Test psnr: 53.61421203613281, Test ssim: 0.9995254278182983, Test sam: 0.01718563586473465
2024-10-28 07:30:02 - iter: 54607/376600, epoch: 200, lr: 0.00037965723351648435 Train MRAE: 0.01653554104268551, Test mrae: 0.008490946143865585, Test rmse: 0.0011546245077624917, Test psnr: 61.16023254394531, Test ssim: 0.9998669028282166, Test sam: 0.0072871106676757336
2024-10-28 07:52:28 - iter: 56490/376600, epoch: 200, lr: 0.00037825655711246667 Train MRAE: 0.014313973486423492, Test mrae: 0.01502903550863266, Test rmse: 0.0017726784572005272, Test psnr: 57.04484176635742, Test ssim: 0.9996283650398254, Test sam: 0.01177285611629486
2024-10-28 08:14:58 - iter: 58373/376600, epoch: 200, lr: 0.0003768120219378088 Train MRAE: 0.02407735027372837, Test mrae: 0.015162481926381588, Test rmse: 0.0017165192402899265, Test psnr: 56.95674514770508, Test ssim: 0.9997538328170776, Test sam: 0.01350337266921997
2024-10-28 08:37:19 - iter: 60256/376600, epoch: 200, lr: 0.0003753239844099513 Train MRAE: 0.014105398207902908, Test mrae: 0.029857784509658813, Test rmse: 0.0039473604410886765, Test psnr: 49.784358978271484, Test ssim: 0.9990523457527161, Test sam: 0.020123111084103584
2024-10-28 08:59:47 - iter: 62139/376600, epoch: 200, lr: 0.0003737928116798887 Train MRAE: 0.013942546211183071, Test mrae: 0.012458194978535175, Test rmse: 0.0015198035398498178, Test psnr: 58.26565933227539, Test ssim: 0.9997395873069763, Test sam: 0.01086397934705019
2024-10-28 09:22:14 - iter: 64022/376600, epoch: 200, lr: 0.0003722188815415795 Train MRAE: 0.015734529122710228, Test mrae: 0.011922130361199379, Test rmse: 0.0015004421584308147, Test psnr: 58.5914421081543, Test ssim: 0.9997302293777466, Test sam: 0.00911177322268486
2024-10-28 09:44:35 - iter: 65905/376600, epoch: 200, lr: 0.0003706025823387346 Train MRAE: 0.01624375209212303, Test mrae: 0.010460659861564636, Test rmse: 0.0013743976596742868, Test psnr: 59.08016586303711, Test ssim: 0.9998385906219482, Test sam: 0.008402261883020401
2024-10-28 10:07:01 - iter: 67788/376600, epoch: 200, lr: 0.00036894431286899857 Train MRAE: 0.014188704080879688, Test mrae: 0.009613161906599998, Test rmse: 0.0011738745961338282, Test psnr: 60.78816604614258, Test ssim: 0.9998238682746887, Test sam: 0.007884697057306767
2024-10-28 10:29:21 - iter: 69671/376600, epoch: 200, lr: 0.00036724448228554816 Train MRAE: 0.013809069991111755, Test mrae: 0.010811122134327888, Test rmse: 0.0014315100852400064, Test psnr: 59.28220748901367, Test ssim: 0.9997687935829163, Test sam: 0.00818233285099268
2024-10-28 10:51:54 - iter: 71554/376600, epoch: 200, lr: 0.0003655035099961447 Train MRAE: 0.014757703989744186, Test mrae: 0.00934339128434658, Test rmse: 0.0011226121569052339, Test psnr: 61.12318801879883, Test ssim: 0.9998224377632141, Test sam: 0.007585096638649702
