2024-10-27 11:41:57 - iter: 43309/376600, epoch: 200, lr: 0.0003871216724063074 Train MRAE: 0.011166947893798351, Test mrae: 0.007927020080387592, Test rmse: 0.0009263499523513019, Test psnr: 18.58432388305664, Test ssim: 0.9999055862426758, Test sam: 0.006243905983865261
2024-10-27 12:04:27 - iter: 45192/376600, epoch: 200, lr: 0.00038599102157092937 Train MRAE: 0.010762165300548077, Test mrae: 0.008424370549619198, Test rmse: 0.0011311252601444721, Test psnr: 18.58893394470215, Test ssim: 0.9998199343681335, Test sam: 0.006906813010573387
2024-10-27 12:26:50 - iter: 47075/376600, epoch: 200, lr: 0.00038481460360154074 Train MRAE: 0.011088424362242222, Test mrae: 0.008687904104590416, Test rmse: 0.0012196906609460711, Test psnr: 18.59343910217285, Test ssim: 0.9998638033866882, Test sam: 0.007318840827792883
2024-10-27 12:49:12 - iter: 48958/376600, epoch: 200, lr: 0.0003835927087616722 Train MRAE: 0.010635892860591412, Test mrae: 0.010437256656587124, Test rmse: 0.0013797719730064273, Test psnr: 18.60645866394043, Test ssim: 0.9998183846473694, Test sam: 0.008196404203772545
2024-10-27 13:11:31 - iter: 50841/376600, epoch: 200, lr: 0.0003823256385355909 Train MRAE: 0.010403761640191078, Test mrae: 0.007010037545114756, Test rmse: 0.0009673295426182449, Test psnr: 18.591190338134766, Test ssim: 0.9999307990074158, Test sam: 0.006014619953930378
2024-10-27 13:33:53 - iter: 52724/376600, epoch: 200, lr: 0.000381013705553919 Train MRAE: 0.010612336918711662, Test mrae: 0.008578374050557613, Test rmse: 0.0012160922633484006, Test psnr: 18.58768081665039, Test ssim: 0.999872624874115, Test sam: 0.007251259405165911
2024-10-27 13:56:18 - iter: 54607/376600, epoch: 200, lr: 0.00037965723351648435 Train MRAE: 0.01024701353162527, Test mrae: 0.007892080582678318, Test rmse: 0.0010995956836268306, Test psnr: 18.60338020324707, Test ssim: 0.9999144673347473, Test sam: 0.0063799177296459675
2024-10-27 14:18:43 - iter: 56490/376600, epoch: 200, lr: 0.00037825655711246667 Train MRAE: 0.010442771948873997, Test mrae: 0.009456729516386986, Test rmse: 0.001176094519905746, Test psnr: 18.595590591430664, Test ssim: 0.999841034412384, Test sam: 0.0072012352757155895
2024-10-27 14:41:05 - iter: 58373/376600, epoch: 200, lr: 0.0003768120219378088 Train MRAE: 0.010251767002046108, Test mrae: 0.008181532844901085, Test rmse: 0.0010408535599708557, Test psnr: 18.58527374267578, Test ssim: 0.9999034404754639, Test sam: 0.00592614384368062
2024-10-27 15:03:26 - iter: 60256/376600, epoch: 200, lr: 0.0003753239844099513 Train MRAE: 0.010214826092123985, Test mrae: 0.007230000104755163, Test rmse: 0.001108959666453302, Test psnr: 18.581878662109375, Test ssim: 0.9999276399612427, Test sam: 0.0061952839605510235
2024-10-27 15:25:55 - iter: 62139/376600, epoch: 200, lr: 0.0003737928116798887 Train MRAE: 0.010386846959590912, Test mrae: 0.008234678767621517, Test rmse: 0.0009765877621248364, Test psnr: 18.591665267944336, Test ssim: 0.9998956322669983, Test sam: 0.006097130477428436
2024-10-27 15:48:23 - iter: 64022/376600, epoch: 200, lr: 0.0003722188815415795 Train MRAE: 0.010229403153061867, Test mrae: 0.007766085676848888, Test rmse: 0.001094167004339397, Test psnr: 18.599470138549805, Test ssim: 0.9999140501022339, Test sam: 0.00684321578592062
2024-10-27 16:10:48 - iter: 65905/376600, epoch: 200, lr: 0.0003706025823387346 Train MRAE: 0.009962127543985844, Test mrae: 0.008795920759439468, Test rmse: 0.0010804644552990794, Test psnr: 18.587047576904297, Test ssim: 0.9998502135276794, Test sam: 0.007507548201829195
2024-10-27 16:33:12 - iter: 67788/376600, epoch: 200, lr: 0.00036894431286899857 Train MRAE: 0.010032248683273792, Test mrae: 0.0064950441010296345, Test rmse: 0.0008337513427250087, Test psnr: 18.597843170166016, Test ssim: 0.9999309182167053, Test sam: 0.005301371216773987
2024-10-27 16:55:43 - iter: 69671/376600, epoch: 200, lr: 0.00036724448228554816 Train MRAE: 0.009673318825662136, Test mrae: 0.00585206039249897, Test rmse: 0.0008471095352433622, Test psnr: 18.596385955810547, Test ssim: 0.9999526739120483, Test sam: 0.005325083155184984
2024-10-27 17:17:59 - iter: 71554/376600, epoch: 200, lr: 0.0003655035099961447 Train MRAE: 0.010052548721432686, Test mrae: 0.009338331408798695, Test rmse: 0.0013120895018801093, Test psnr: 18.599332809448242, Test ssim: 0.9998672008514404, Test sam: 0.007625138387084007
2024-10-27 17:40:24 - iter: 73437/376600, epoch: 200, lr: 0.00036372182555965087 Train MRAE: 0.009560867212712765, Test mrae: 0.008845834992825985, Test rmse: 0.0012704349355772138, Test psnr: 18.60723304748535, Test ssim: 0.9999064207077026, Test sam: 0.006371681112796068
2024-10-27 18:02:51 - iter: 75320/376600, epoch: 200, lr: 0.0003618998685800394 Train MRAE: 0.009818213991820812, Test mrae: 0.00925406999886036, Test rmse: 0.0012833450455218554, Test psnr: 18.5913028717041, Test ssim: 0.9998597502708435, Test sam: 0.008105844259262085
2024-10-27 18:25:15 - iter: 77203/376600, epoch: 200, lr: 0.00036003808859793506 Train MRAE: 0.009708723984658718, Test mrae: 0.009434112347662449, Test rmse: 0.0013605215353891253, Test psnr: 18.591962814331055, Test ssim: 0.9999043941497803, Test sam: 0.008222377859055996
2024-10-27 18:47:43 - iter: 79086/376600, epoch: 200, lr: 0.0003581369449796889 Train MRAE: 0.009417214430868626, Test mrae: 0.011567296460270882, Test rmse: 0.0016699328552931547, Test psnr: 18.60728645324707, Test ssim: 0.9998390078544617, Test sam: 0.00805344246327877
2024-10-27 19:10:06 - iter: 80969/376600, epoch: 200, lr: 0.0003561969068040406 Train MRAE: 0.009412302635610104, Test mrae: 0.010034678503870964, Test rmse: 0.0012387072201818228, Test psnr: 18.604785919189453, Test ssim: 0.9998878836631775, Test sam: 0.007807125803083181
2024-10-27 19:32:39 - iter: 82852/376600, epoch: 200, lr: 0.0003542184527463827 Train MRAE: 0.009502597153186798, Test mrae: 0.011743313632905483, Test rmse: 0.0017246402567252517, Test psnr: 18.613462448120117, Test ssim: 0.9998538494110107, Test sam: 0.00817708857357502
2024-10-27 19:55:08 - iter: 84735/376600, epoch: 200, lr: 0.0003522020709606468 Train MRAE: 0.00930061750113964, Test mrae: 0.008916650898754597, Test rmse: 0.0012562148040160537, Test psnr: 18.589365005493164, Test ssim: 0.999855637550354, Test sam: 0.007709583267569542
2024-10-27 20:17:33 - iter: 86618/376600, epoch: 200, lr: 0.0003501482589588692 Train MRAE: 0.009193802252411842, Test mrae: 0.009733913466334343, Test rmse: 0.0013601514510810375, Test psnr: 18.591012954711914, Test ssim: 0.9998942613601685, Test sam: 0.008290914818644524
