2024-10-18 14:21:02 - iter: 27000/300000, epoch: 300, lr: 0.00039207917313886017 Train MRAE: 0.02767059952020645, Test mrae: 0.01369, Test rmse: 0.00153, Test psnr: 18.60393, Test ssim: 0.99969, Test sam: 0.01013
2024-10-18 14:33:00 - iter: 28000/300000, epoch: 300, lr: 0.00039148584358059 Train MRAE: 0.02720710262656212, Test mrae: 0.01385, Test rmse: 0.00186, Test psnr: 18.59136, Test ssim: 0.99974, Test sam: 0.01206
2024-10-18 14:44:57 - iter: 29000/300000, epoch: 300, lr: 0.000390871570272358 Train MRAE: 0.02679196372628212, Test mrae: 0.01228, Test rmse: 0.00139, Test psnr: 18.59371, Test ssim: 0.99977, Test sam: 0.00941
2024-10-18 14:56:54 - iter: 30000/300000, epoch: 300, lr: 0.000390236420576152 Train MRAE: 0.02639075741171837, Test mrae: 0.01276, Test rmse: 0.00145, Test psnr: 18.59678, Test ssim: 0.99979, Test sam: 0.00966
2024-10-18 15:08:50 - iter: 31000/300000, epoch: 300, lr: 0.0003895804641432942 Train MRAE: 0.026018051430583, Test mrae: 0.00997, Test rmse: 0.00128, Test psnr: 18.59073, Test ssim: 0.99984, Test sam: 0.00781
2024-10-18 15:20:47 - iter: 32000/300000, epoch: 300, lr: 0.0003889037729067998 Train MRAE: 0.025663260370492935, Test mrae: 0.01540, Test rmse: 0.00174, Test psnr: 18.57437, Test ssim: 0.99961, Test sam: 0.01095
2024-10-18 15:32:45 - iter: 33000/300000, epoch: 300, lr: 0.0003882064210734897 Train MRAE: 0.025335103273391724, Test mrae: 0.01451, Test rmse: 0.00181, Test psnr: 18.59891, Test ssim: 0.99973, Test sam: 0.01169
2024-10-18 15:44:42 - iter: 34000/300000, epoch: 300, lr: 0.0003874884851158495 Train MRAE: 0.02501244656741619, Test mrae: 0.01916, Test rmse: 0.00226, Test psnr: 18.60122, Test ssim: 0.99943, Test sam: 0.01327
2024-10-18 15:56:41 - iter: 35000/300000, epoch: 300, lr: 0.0003867500437636488 Train MRAE: 0.024713747203350067, Test mrae: 0.01173, Test rmse: 0.00157, Test psnr: 18.59044, Test ssim: 0.99976, Test sam: 0.01060
2024-10-18 16:08:37 - iter: 36000/300000, epoch: 300, lr: 0.0003859911779953015 Train MRAE: 0.024428971111774445, Test mrae: 0.01608, Test rmse: 0.00199, Test psnr: 18.58833, Test ssim: 0.99955, Test sam: 0.01210
